Customer ID,Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Loyal (gdnp),High_Spender,Positive_Review
33,36,Male,Outerwear,67,M,Summer,4,Free Shipping,Yes,37,Venmo,Annually,No,High spender,Positive Review
34,54,Unknown_Gender,Clothing,38,L,Summer,3,Store Pickup,Yes,45,Cash,Quarterly,No,Low spender,Negative Review
35,36,Male,Clothing,91,L,Spring,3,2-Day Shipping,Yes,38,PayPal,Quarterly,No,High spender,Negative Review
36,54,Male,Clothing,33,M,Summer,4,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,No,Low spender,Positive Review
37,35,Male,Clothing,69,M,Winter,4,Free Shipping,Yes,44,PayPal,Fortnightly,Yes,High spender,Positive Review
38,35,Male,Other,45,S,Summer,2,Store Pickup,Yes,10,PayPal,Weekly,Yes,Low spender,Negative Review
39,29,Male,Clothing,37,M,Winter,3,2-Day Shipping,Yes,44,Venmo,Every 3 Months,No,Low spender,Negative Review
40,70,Unknown_Gender,Clothing,60,S,Summer,4,Express,Yes,18,Credit Card,Monthly,No,High spender,Positive Review
41,69,Male,Accessories,36,L,Winter,3,Next Day Air,Yes,31,Debit Card,Quarterly,No,Low spender,Negative Review
42,67,Male,Accessories,39,M,Spring,4,Standard,Yes,40,Venmo,Annually,No,Low spender,Positive Review
43,20,Male,Outerwear,100,M,Spring,4,Free Shipping,Yes,15,PayPal,Annually,No,High spender,Positive Review
44,25,Male,Accessories,69,L,Fall,3,Store Pickup,Yes,19,PayPal,Fortnightly,Yes,High spender,Negative Review
45,39,Male,Accessories,53,S,Summer,4,Free Shipping,Yes,45,PayPal,Unknown_Frequency,Yes,Low spender,Positive Review
46,50,Unknown_Gender,Clothing,21,XL,Fall,2,2-Day Shipping,Yes,25,PayPal,Annually,No,Low spender,Negative Review
47,57,Male,Clothing,43,L,Summer,2,Store Pickup,Yes,45,Cash,Quarterly,No,Low spender,Negative Review
48,55,Male,Accessories,54,M,Winter,4,Free Shipping,Yes,36,Cash,Weekly,Yes,Low spender,Positive Review
49,42,Male,Clothing,55,M,Summer,2,Store Pickup,Yes,38,Cash,Monthly,No,Low spender,Negative Review
50,68,Male,Other,36,S,Spring,4,Next Day Air,Yes,34,Debit Card,Unknown_Frequency,Yes,Low spender,Positive Review
51,49,Male,Clothing,28,M,Spring,3,Store Pickup,Yes,39,Debit Card,Bi-Weekly,No,Low spender,Negative Review
52,59,Male,Other,59,XL,Winter,3,2-Day Shipping,Yes,7,Credit Card,Quarterly,No,High spender,Negative Review
53,42,Male,Clothing,20,M,Summer,2,Free Shipping,Yes,26,Credit Card,Weekly,Yes,Low spender,Negative Review
54,29,Male,Clothing,24,S,Winter,3,Next Day Air,Yes,35,Credit Card,Weekly,Yes,Low spender,Negative Review
55,47,Male,Outerwear,36,M,Summer,4,Next Day Air,Yes,35,Debit Card,Bi-Weekly,No,Low spender,Positive Review
56,69,Male,Outerwear,28,M,Winter,3,2-Day Shipping,Yes,49,Credit Card,Annually,No,Low spender,Negative Review
57,69,Unknown_Gender,Accessories,73,XL,Summer,3,Store Pickup,Yes,46,Credit Card,Weekly,Yes,High spender,Negative Review
58,21,Male,Outerwear,64,M,Summer,4,Store Pickup,Yes,17,Debit Card,Fortnightly,Yes,High spender,Positive Review
59,69,Male,Clothing,54,M,Summer,4,Free Shipping,Yes,29,Venmo,Monthly,No,Low spender,Positive Review
60,63,Male,Other,79,L,Spring,4,Standard,Yes,4,Debit Card,Weekly,Yes,High spender,Positive Review
61,50,Male,Clothing,36,L,Summer,4,Express,Yes,17,Cash,Weekly,Yes,Low spender,Positive Review
62,55,Male,Accessories,68,M,Winter,3,Store Pickup,Yes,21,Credit Card,Every 3 Months,No,High spender,Negative Review
63,30,Male,Footwear,21,S,Spring,3,Free Shipping,Yes,31,Credit Card,Fortnightly,Yes,Low spender,Negative Review
64,33,Unknown_Gender,Accessories,79,L,Winter,2,2-Day Shipping,Yes,43,Credit Card,Weekly,Yes,High spender,Negative Review
65,65,Male,Footwear,83,S,Fall,4,Standard,Yes,18,Debit Card,Fortnightly,Yes,High spender,Positive Review
66,69,Male,Accessories,36,M,Spring,4,2-Day Shipping,Yes,44,Venmo,Every 3 Months,No,Low spender,Positive Review
67,31,Male,Clothing,94,S,Winter,4,2-Day Shipping,Yes,3,Venmo,Every 3 Months,No,High spender,Positive Review
68,69,Male,Outerwear,33,L,Winter,3,Store Pickup,Yes,49,Debit Card,Monthly,No,Low spender,Negative Review
69,57,Male,Accessories,46,L,Summer,3,Next Day Air,Yes,21,Cash,Every 3 Months,No,Low spender,Negative Review
70,69,Male,Accessories,70,S,Summer,4,Express,Yes,5,Cash,Weekly,Yes,High spender,Positive Review
71,69,Unknown_Gender,Accessories,29,M,Fall,3,Express,Yes,32,Debit Card,Every 3 Months,No,Low spender,Negative Review
72,36,Male,Clothing,36,L,Summer,3,Express,Yes,34,Bank Transfer,Annually,No,Low spender,Negative Review
73,18,Male,Other,36,M,Winter,2,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,No,Low spender,Negative Review
74,48,Male,Clothing,85,M,Spring,2,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,No,High spender,Negative Review
75,69,Male,Accessories,58,L,Spring,3,Express,Yes,3,Cash,Monthly,No,High spender,Negative Review
76,64,Male,Accessories,85,M,Summer,2,Free Shipping,Yes,21,Credit Card,Annually,No,High spender,Negative Review
77,50,Male,Accessories,43,S,Summer,4,Free Shipping,Yes,32,Venmo,Monthly,No,Low spender,Positive Review
78,22,Male,Clothing,53,L,Summer,3,Next Day Air,Yes,36,Debit Card,Fortnightly,Yes,Low spender,Negative Review
79,50,Male,Clothing,91,M,Spring,4,Free Shipping,Yes,50,Venmo,Fortnightly,Yes,High spender,Positive Review
80,69,Male,Other,96,M,Winter,2,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,No,High spender,Negative Review
81,19,Male,Footwear,72,XL,Summer,3,Store Pickup,Yes,24,Credit Card,Unknown_Frequency,Yes,High spender,Negative Review
82,69,Male,Footwear,96,L,Summer,2,Express,Yes,36,Credit Card,Every 3 Months,No,High spender,Negative Review
83,69,Male,Clothing,28,S,Spring,4,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,No,Low spender,Positive Review
84,36,Male,Clothing,40,M,Summer,4,Standard,Yes,34,Bank Transfer,Weekly,Yes,Low spender,Positive Review
85,69,Male,Outerwear,36,S,Spring,4,Standard,Yes,42,Bank Transfer,Every 3 Months,No,Low spender,Positive Review
86,69,Unknown_Gender,Accessories,95,M,Winter,4,Next Day Air,Yes,2,Debit Card,Bi-Weekly,No,High spender,Positive Review
87,69,Male,Clothing,41,L,Spring,3,2-Day Shipping,Yes,47,Cash,Bi-Weekly,No,Low spender,Negative Review
88,52,Male,Footwear,53,M,Fall,3,2-Day Shipping,Yes,44,Debit Card,Fortnightly,Yes,Low spender,Negative Review
89,33,Male,Clothing,36,M,Fall,3,Free Shipping,Yes,35,Credit Card,Monthly,No,Low spender,Negative Review
90,69,Unknown_Gender,Outerwear,83,XL,Fall,3,Next Day Air,Yes,15,Cash,Quarterly,No,High spender,Negative Review
91,69,Male,Accessories,48,L,Summer,2,Express,Yes,29,Credit Card,Monthly,No,Low spender,Negative Review
92,44,Male,Accessories,99,S,Winter,4,Standard,Yes,18,Credit Card,Every 3 Months,No,High spender,Positive Review
93,61,Unknown_Gender,Outerwear,87,M,Winter,4,2-Day Shipping,Yes,13,Venmo,Every 3 Months,No,High spender,Positive Review
94,37,Male,Clothing,62,M,Fall,4,Standard,Yes,46,Credit Card,Weekly,Yes,High spender,Positive Review
95,58,Male,Clothing,76,S,Spring,3,Free Shipping,Yes,28,Credit Card,Weekly,Yes,High spender,Negative Review
96,37,Male,Footwear,100,L,Fall,3,Free Shipping,Yes,48,PayPal,Monthly,No,High spender,Negative Review
97,32,Male,Accessories,73,S,Spring,3,Express,Yes,43,Venmo,Every 3 Months,No,High spender,Negative Review
98,69,Male,Footwear,36,M,Winter,4,Store Pickup,Yes,37,Cash,Annually,No,Low spender,Positive Review
99,20,Male,Clothing,67,XL,Spring,2,Next Day Air,Yes,20,Bank Transfer,Annually,No,High spender,Negative Review
100,26,Male,Clothing,40,XL,Summer,3,Express,Yes,33,Debit Card,Unknown_Frequency,Yes,Low spender,Negative Review
101,62,Male,Other,98,M,Fall,2,Express,Yes,31,Cash,Fortnightly,Yes,High spender,Negative Review
102,69,Male,Outerwear,85,XL,Spring,4,Express,Yes,50,Credit Card,Bi-Weekly,No,High spender,Positive Review
103,51,Male,Clothing,67,L,Winter,4,Next Day Air,Yes,35,Credit Card,Quarterly,No,High spender,Positive Review
104,54,Male,Footwear,89,L,Winter,3,Next Day Air,Yes,22,Venmo,Bi-Weekly,No,High spender,Negative Review
105,55,Unknown_Gender,Accessories,24,L,Spring,4,2-Day Shipping,Yes,1,PayPal,Monthly,No,Low spender,Positive Review
106,69,Male,Accessories,36,M,Fall,3,Next Day Air,Yes,4,Bank Transfer,Annually,No,Low spender,Negative Review
107,64,Male,Outerwear,35,L,Summer,3,Standard,Yes,31,Credit Card,Monthly,No,Low spender,Negative Review
108,28,Unknown_Gender,Other,36,L,Winter,3,Next Day Air,Yes,46,PayPal,Fortnightly,Yes,Low spender,Negative Review
109,70,Male,Clothing,79,L,Spring,3,Next Day Air,Yes,32,Bank Transfer,Unknown_Frequency,Yes,High spender,Negative Review
110,58,Unknown_Gender,Clothing,36,M,Spring,2,Next Day Air,Yes,43,Bank Transfer,Fortnightly,Yes,Low spender,Negative Review
111,56,Male,Accessories,26,M,Summer,4,Standard,Yes,26,Venmo,Fortnightly,Yes,Low spender,Positive Review
112,26,Male,Accessories,75,L,Summer,5,Free Shipping,Yes,9,Credit Card,Annually,No,High spender,Positive Review
113,69,Unknown_Gender,Accessories,36,M,Spring,4,Free Shipping,Yes,28,PayPal,Unknown_Frequency,Yes,Low spender,Positive Review
114,44,Male,Accessories,36,L,Winter,3,Next Day Air,Yes,20,PayPal,Quarterly,No,Low spender,Negative Review
115,70,Male,Outerwear,95,S,Summer,3,Store Pickup,Yes,9,Cash,Weekly,Yes,High spender,Negative Review
116,53,Male,Clothing,94,M,Spring,3,Standard,Yes,48,Debit Card,Every 3 Months,No,High spender,Negative Review
117,69,Unknown_Gender,Footwear,86,S,Spring,3,Free Shipping,Yes,12,Venmo,Annually,No,High spender,Negative Review
118,50,Male,Footwear,32,L,Summer,3,Express,Yes,29,Cash,Fortnightly,Yes,Low spender,Negative Review
119,50,Male,Clothing,45,L,Fall,4,2-Day Shipping,Yes,27,Cash,Bi-Weekly,No,Low spender,Positive Review
120,69,Male,Outerwear,76,M,Fall,4,Express,Yes,44,Cash,Annually,No,High spender,Positive Review
121,64,Unknown_Gender,Accessories,36,L,Summer,3,Express,Yes,32,Bank Transfer,Annually,No,Low spender,Negative Review
122,19,Male,Clothing,72,M,Winter,3,Standard,Yes,11,Cash,Fortnightly,Yes,High spender,Negative Review
123,69,Male,Accessories,40,L,Spring,3,2-Day Shipping,Yes,44,Cash,Fortnightly,Yes,Low spender,Negative Review
124,57,Male,Clothing,89,L,Fall,3,Free Shipping,Yes,46,Cash,Weekly,Yes,High spender,Negative Review
125,44,Male,Clothing,86,M,Spring,3,Next Day Air,Yes,50,PayPal,Annually,No,High spender,Negative Review
126,49,Male,Clothing,36,M,Winter,3,Next Day Air,Yes,45,Venmo,Every 3 Months,No,Low spender,Negative Review
127,43,Male,Clothing,36,L,Spring,3,Store Pickup,Yes,48,Cash,Every 3 Months,No,Low spender,Negative Review
128,69,Male,Clothing,89,M,Winter,3,Next Day Air,Yes,26,Credit Card,Weekly,Yes,High spender,Negative Review
129,20,Male,Other,32,M,Spring,4,Standard,Yes,21,Credit Card,Fortnightly,Yes,Low spender,Positive Review
130,24,Male,Clothing,67,XL,Summer,4,2-Day Shipping,Yes,49,PayPal,Bi-Weekly,No,High spender,Positive Review
131,44,Male,Accessories,39,L,Fall,3,Next Day Air,Yes,13,PayPal,Fortnightly,Yes,Low spender,Negative Review
132,28,Male,Other,29,L,Summer,3,Standard,Yes,46,Credit Card,Weekly,Yes,Low spender,Negative Review
133,30,Male,Other,58,M,Fall,4,2-Day Shipping,Yes,42,PayPal,Weekly,Yes,High spender,Positive Review
134,69,Male,Other,65,M,Winter,2,Next Day Air,Yes,25,Venmo,Annually,No,High spender,Negative Review
135,43,Male,Accessories,94,L,Fall,4,Store Pickup,Yes,25,Cash,Monthly,No,High spender,Positive Review
136,43,Male,Footwear,36,M,Fall,4,Express,Yes,12,PayPal,Quarterly,No,Low spender,Positive Review
137,39,Male,Clothing,86,M,Winter,3,Free Shipping,Yes,4,Debit Card,Quarterly,No,High spender,Negative Review
138,68,Male,Footwear,36,M,Spring,4,Free Shipping,Yes,38,PayPal,Weekly,Yes,Low spender,Positive Review
139,68,Male,Clothing,29,M,Winter,4,Store Pickup,Yes,42,Bank Transfer,Weekly,Yes,Low spender,Positive Review
140,49,Male,Outerwear,95,M,Fall,3,Store Pickup,Yes,30,Venmo,Annually,No,High spender,Negative Review
141,63,Male,Clothing,36,L,Fall,3,2-Day Shipping,Yes,50,Credit Card,Weekly,Yes,Low spender,Negative Review
142,56,Unknown_Gender,Accessories,46,M,Fall,4,Free Shipping,Yes,45,PayPal,Weekly,Yes,Low spender,Positive Review
143,37,Male,Outerwear,36,L,Fall,3,Free Shipping,Yes,33,Credit Card,Fortnightly,Yes,Low spender,Negative Review
144,30,Male,Outerwear,36,M,Fall,3,Store Pickup,Yes,25,PayPal,Quarterly,No,Low spender,Negative Review
145,19,Male,Footwear,43,M,Fall,3,Express,Yes,25,Cash,Monthly,No,Low spender,Negative Review
146,24,Male,Accessories,95,M,Fall,4,Standard,Yes,44,Debit Card,Quarterly,No,High spender,Positive Review
147,52,Male,Clothing,30,S,Fall,4,Standard,Yes,21,Venmo,Unknown_Frequency,Yes,Low spender,Positive Review
148,63,Male,Footwear,36,M,Summer,3,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly,Yes,Low spender,Negative Review
149,37,Male,Accessories,90,M,Fall,3,Store Pickup,Yes,47,Debit Card,Annually,No,High spender,Negative Review
150,38,Male,Clothing,76,M,Summer,3,Free Shipping,Yes,14,PayPal,Monthly,No,High spender,Negative Review
151,35,Unknown_Gender,Footwear,96,L,Fall,3,Standard,Yes,17,Debit Card,Every 3 Months,No,High spender,Negative Review
152,28,Male,Other,47,L,Fall,3,Next Day Air,Yes,3,Venmo,Annually,No,Low spender,Negative Review
153,30,Unknown_Gender,Clothing,85,S,Summer,4,Express,Yes,42,Venmo,Annually,No,High spender,Positive Review
154,69,Male,Clothing,55,M,Winter,3,Standard,Yes,22,Debit Card,Annually,No,Low spender,Negative Review
155,41,Male,Clothing,98,M,Fall,3,Next Day Air,Yes,21,Venmo,Quarterly,No,High spender,Negative Review
156,63,Male,Clothing,77,S,Spring,3,Free Shipping,Yes,21,Bank Transfer,Quarterly,No,High spender,Negative Review
157,69,Male,Clothing,26,M,Fall,4,Standard,Yes,40,Debit Card,Annually,No,Low spender,Positive Review
158,36,Male,Accessories,68,S,Fall,3,Next Day Air,Yes,1,Bank Transfer,Fortnightly,Yes,High spender,Negative Review
159,25,Male,Clothing,73,XL,Fall,4,Standard,Yes,50,Bank Transfer,Unknown_Frequency,Yes,High spender,Positive Review
160,58,Male,Accessories,27,M,Fall,3,Store Pickup,Yes,39,Bank Transfer,Every 3 Months,No,Low spender,Negative Review
161,27,Male,Accessories,23,M,Summer,4,Free Shipping,Yes,34,Venmo,Monthly,No,Low spender,Positive Review
162,69,Male,Accessories,49,M,Fall,3,Express,Yes,29,Venmo,Fortnightly,Yes,Low spender,Negative Review
163,54,Male,Accessories,74,M,Summer,3,Store Pickup,Yes,31,PayPal,Bi-Weekly,No,High spender,Negative Review
164,54,Male,Clothing,67,M,Summer,3,Standard,Yes,8,Debit Card,Weekly,Yes,High spender,Negative Review
165,59,Male,Accessories,65,S,Spring,2,Free Shipping,Yes,5,Credit Card,Fortnightly,Yes,High spender,Negative Review
166,42,Male,Accessories,60,S,Winter,2,Store Pickup,Yes,7,Cash,Unknown_Frequency,Yes,High spender,Negative Review
167,46,Male,Footwear,36,XL,Fall,4,Store Pickup,Yes,30,Cash,Unknown_Frequency,Yes,Low spender,Positive Review
168,33,Male,Accessories,27,M,Fall,4,Express,Yes,14,Credit Card,Every 3 Months,No,Low spender,Positive Review
169,69,Male,Footwear,80,M,Summer,3,Express,Yes,5,Cash,Fortnightly,Yes,High spender,Negative Review
170,27,Male,Outerwear,30,S,Summer,3,Standard,Yes,3,PayPal,Every 3 Months,No,Low spender,Negative Review
171,52,Male,Clothing,25,M,Fall,2,Store Pickup,Yes,46,Venmo,Unknown_Frequency,Yes,Low spender,Negative Review
172,29,Male,Clothing,35,M,Summer,3,Store Pickup,Yes,4,Credit Card,Weekly,Yes,Low spender,Negative Review
173,54,Male,Accessories,67,M,Summer,3,Next Day Air,Yes,42,Credit Card,Bi-Weekly,No,High spender,Negative Review
174,25,Male,Other,36,M,Fall,3,Standard,Yes,30,Cash,Annually,No,Low spender,Negative Review
175,41,Male,Footwear,36,L,Winter,3,Express,Yes,37,Venmo,Annually,No,Low spender,Negative Review
176,53,Male,Outerwear,86,L,Fall,3,Next Day Air,Yes,2,Bank Transfer,Annually,No,High spender,Negative Review
177,53,Male,Accessories,81,L,Spring,3,Next Day Air,Yes,30,Credit Card,Quarterly,No,High spender,Negative Review
178,69,Male,Clothing,36,L,Fall,3,Next Day Air,Yes,47,Bank Transfer,Monthly,No,Low spender,Negative Review
179,69,Male,Other,36,L,Fall,3,2-Day Shipping,Yes,21,PayPal,Quarterly,No,Low spender,Negative Review
180,64,Male,Footwear,31,M,Fall,4,Store Pickup,Yes,9,Bank Transfer,Unknown_Frequency,Yes,Low spender,Positive Review
181,51,Male,Footwear,81,L,Fall,3,Store Pickup,Yes,12,Debit Card,Fortnightly,Yes,High spender,Negative Review
182,32,Male,Other,61,M,Summer,4,Next Day Air,Yes,4,Bank Transfer,Weekly,Yes,High spender,Positive Review
183,69,Unknown_Gender,Accessories,96,XL,Summer,2,Store Pickup,Yes,10,Debit Card,Annually,No,High spender,Negative Review
184,58,Male,Clothing,29,XL,Spring,3,2-Day Shipping,Yes,26,Credit Card,Weekly,Yes,Low spender,Negative Review
185,32,Male,Footwear,33,L,Spring,3,Express,Yes,40,Cash,Fortnightly,Yes,Low spender,Negative Review
186,69,Male,Clothing,32,XL,Summer,4,Store Pickup,Yes,34,Bank Transfer,Fortnightly,Yes,Low spender,Positive Review
187,39,Unknown_Gender,Accessories,56,S,Summer,2,Standard,Yes,31,Debit Card,Annually,No,High spender,Negative Review
188,19,Unknown_Gender,Footwear,94,S,Spring,3,Store Pickup,Yes,1,Bank Transfer,Bi-Weekly,No,High spender,Negative Review
189,69,Male,Clothing,53,M,Spring,3,Express,Yes,5,Bank Transfer,Bi-Weekly,No,Low spender,Negative Review
190,36,Male,Clothing,82,M,Fall,4,Next Day Air,Yes,4,Credit Card,Weekly,Yes,High spender,Positive Review
191,65,Male,Outerwear,70,XL,Fall,3,Free Shipping,Yes,48,Venmo,Quarterly,No,High spender,Negative Review
192,64,Male,Accessories,76,M,Fall,3,Free Shipping,Yes,29,Cash,Every 3 Months,No,High spender,Negative Review
193,46,Unknown_Gender,Footwear,36,L,Summer,2,Express,Yes,12,PayPal,Bi-Weekly,No,Low spender,Negative Review
194,36,Male,Accessories,100,S,Fall,3,Standard,Yes,29,Venmo,Annually,No,High spender,Negative Review
195,69,Male,Accessories,94,M,Spring,3,Express,Yes,15,Debit Card,Quarterly,No,High spender,Negative Review
196,51,Male,Outerwear,25,M,Fall,4,Free Shipping,Yes,34,Credit Card,Monthly,No,Low spender,Positive Review
197,38,Male,Footwear,88,M,Summer,3,Next Day Air,Yes,41,Credit Card,Fortnightly,Yes,High spender,Negative Review
198,59,Male,Accessories,78,M,Fall,3,2-Day Shipping,Yes,41,Credit Card,Monthly,No,High spender,Negative Review
199,57,Male,Accessories,45,M,Winter,4,Standard,Yes,39,Credit Card,Fortnightly,Yes,Low spender,Positive Review
200,54,Male,Accessories,73,XL,Summer,3,Express,Yes,32,Cash,Weekly,Yes,High spender,Negative Review
201,25,Male,Clothing,61,S,Summer,3,Next Day Air,Yes,29,Venmo,Monthly,No,High spender,Negative Review
202,69,Male,Clothing,36,S,Fall,3,Free Shipping,Yes,15,Bank Transfer,Annually,No,Low spender,Negative Review
203,57,Male,Accessories,38,L,Spring,3,Express,Yes,33,Venmo,Annually,No,Low spender,Negative Review
204,70,Male,Accessories,36,S,Fall,3,Next Day Air,Yes,18,Bank Transfer,Weekly,Yes,Low spender,Negative Review
205,24,Unknown_Gender,Footwear,36,M,Fall,4,Store Pickup,Yes,35,Cash,Bi-Weekly,No,Low spender,Positive Review
206,67,Male,Clothing,64,M,Winter,3,Standard,Yes,25,PayPal,Weekly,Yes,High spender,Negative Review
207,24,Male,Clothing,55,L,Summer,4,Free Shipping,Yes,6,Venmo,Fortnightly,Yes,Low spender,Positive Review
208,62,Unknown_Gender,Accessories,91,M,Summer,2,Express,Yes,17,Bank Transfer,Bi-Weekly,No,High spender,Negative Review
209,57,Male,Clothing,38,M,Spring,4,Store Pickup,Yes,17,Credit Card,Monthly,No,Low spender,Positive Review
210,55,Male,Footwear,97,S,Winter,3,Store Pickup,Yes,44,Cash,Every 3 Months,No,High spender,Negative Review
211,45,Male,Other,22,L,Fall,3,2-Day Shipping,Yes,6,PayPal,Unknown_Frequency,Yes,Low spender,Negative Review
212,69,Male,Clothing,92,L,Fall,4,2-Day Shipping,Yes,45,Debit Card,Fortnightly,Yes,High spender,Positive Review
213,67,Male,Accessories,84,L,Fall,3,Express,Yes,7,Debit Card,Annually,No,High spender,Negative Review
214,30,Male,Accessories,93,L,Fall,3,Store Pickup,Yes,11,Debit Card,Every 3 Months,No,High spender,Negative Review
215,24,Male,Outerwear,50,L,Summer,4,Next Day Air,Yes,41,Cash,Every 3 Months,No,Low spender,Positive Review
216,62,Male,Accessories,36,S,Spring,2,2-Day Shipping,Yes,24,PayPal,Bi-Weekly,No,Low spender,Negative Review
217,43,Unknown_Gender,Other,36,L,Spring,3,Free Shipping,Yes,21,Venmo,Weekly,Yes,Low spender,Negative Review
218,35,Male,Accessories,48,M,Winter,3,Next Day Air,Yes,24,Bank Transfer,Annually,No,Low spender,Negative Review
219,28,Male,Clothing,36,S,Spring,2,Store Pickup,Yes,8,Credit Card,Quarterly,No,Low spender,Negative Review
220,32,Male,Accessories,88,M,Spring,3,Free Shipping,Yes,12,Cash,Fortnightly,Yes,High spender,Negative Review
221,39,Male,Footwear,57,S,Spring,3,Express,Yes,48,Debit Card,Fortnightly,Yes,High spender,Negative Review
222,28,Male,Accessories,68,XL,Summer,4,Store Pickup,Yes,6,Bank Transfer,Quarterly,No,High spender,Positive Review
223,47,Male,Accessories,94,XL,Spring,3,2-Day Shipping,Yes,14,PayPal,Fortnightly,Yes,High spender,Negative Review
224,20,Male,Clothing,41,M,Spring,4,Free Shipping,Yes,34,PayPal,Annually,No,Low spender,Positive Review
225,63,Male,Clothing,83,S,Summer,2,Free Shipping,Yes,12,Cash,Every 3 Months,No,High spender,Negative Review
226,25,Male,Outerwear,22,M,Spring,3,Next Day Air,Yes,11,Bank Transfer,Annually,No,Low spender,Negative Review
227,29,Male,Footwear,74,L,Spring,3,Free Shipping,Yes,5,PayPal,Monthly,No,High spender,Negative Review
228,50,Male,Clothing,90,M,Winter,4,Standard,Yes,25,Venmo,Fortnightly,Yes,High spender,Positive Review
